I'm saying no.	Estou dizendo que não.
Explain to me why you don't want to go anymore.	Me explique por que você não quer mais ir?
Tom isn't a third grader.	Tom não é aluno da terceira série.
Are you in love?	Você está apaixonado?
Do you know who invented the Ferris wheel?	Você sabe quem inventou a roda-gigante?
Mary poisoned herself.	Mary se envenenou.
Tom almost hurt himself trying to do that.	Tom quase se machucou tentando fazer isso.
They'll need help.	Eles vão precisar de ajuda.
Every step towards organization raises a crop of vices peculiar to itself, fresh developments of the egotism and greed and vanity of those into whose hands there falls control, fresh instances of that hostile pedantry which seems so natural to officials and managers, insurgencies and obstinacies and suspicions on the part of everyone.	Cada passo com vista à organização gera uma série de vícios específicos ao próprio passo, novos desdobramentos do egoísmo e ganância e vaidade daqueles em cujas mãos recai o controlo, novos exemplos daquele pedantismo hostil que parece tão natural aos oficiais e gestores, insurreições e obstinações e suspeitas por parte de todos.
We're not dating.	Nós não estamos namorando.
He's very young. He's much younger than Tom.	Ele é muito novo. Bem mais novo do que Tom.
Tom is making his bed.	Tom está fazendo a cama dele.
I burned the cake.	Eu queimei o bolo.
The pile of bodies under the bridge was such a macabre sight.	A pilha de cadáveres embaixo da ponte era uma visão tão macabra.
We're ready to leave.	Estamos prontos para sair.
I need that medicine.	Eu preciso daquele remédio.
The air conditioner doesn't work.	O ar-condicionado não funciona.
I want to show you what Tom gave me.	Eu quero mostrar a você o que Tom me deu.
I can't imagine doing it any other way.	Não consigo imaginar fazer de outra maneira.
She was heard to criticize the manager.	Ouviram-na criticar o gerente.
A decapitated body was on the coroner's table.	Um corpo decapitado estava na mesa do médico legista.
You're mocking me, aren't you?	Vocês estão me zoando, né?
I'm not going to talk about that today.	Não vou falar sobre isso hoje.
The day is for honest men, the night for thieves.	O dia foi feito para os homens honestos; a noite, para os ladrões.
Yes, it's true!	Sim, é verdade!
The terrain on Mars appears very hospitable.	O terreno em Marte parece muito hospitaleiro.
Cheok said different tastes are triggered by molecules that cause chemical ionization on the surface of the tongue, sending the brain electrical signals of a specific amplitude and frequency that are possible to reproduce with two electrodes.	Cheok disse que os diferentes sabores são ativados por moléculas que causam ionização química na superfície da língua, enviando ao cérebro sinais elétricos de uma amplitude e uma frequência específicas que são possíveis de reproduzir com dois elétrodos.
Tom slept a lot longer than me.	Tom dormiu muito mais tempo que eu.
He's a drug dealer.	Ele é traficante.
I couldn't prove my theory.	Eu não podia provar minha teoria.
I need a new one.	Eu preciso de um novo.
Sami took Layla's phone and car.	Sami levou o telefone e o carro de Leila.
In peace sons bury fathers, but in war fathers bury sons.	Em tempo de paz, os filhos enterram os pais, mas em tempo de guerra os pais enterram os filhos.
Let me go talk to Tom.	Deixe-me falar com o Tom.
It isn't heavy.	Não está pesada.
"What is the English for ""Saigen""?"	"Como é ""Saigen"" em inglês?"
"""What do you want?"" ""I just wanted to ask Tom something."""	"""O que você quer?"" ""Eu só queria perguntar um negócio a Tom."""
I miss college.	Sinto falta da faculdade.
I'd appreciate it if you sent me your latest catalog.	Eu ficaria grato se você me mandasse seu último catálogo.
When was this article written?	Quando este artigo foi escrito?
That was what Tom wanted to do, but he wasn't allowed to.	Era isso que Tom queria fazer, mas não tinha permissão para fazer.
I didn't know that he had actually lied to me.	Eu não sabia que ele tinha mesmo mentido para mim.
You shouldn't be doing that here.	Você não deveria estar fazendo isso aqui.
That's a proven fact.	Isso é um fato comprovado.
Do you like Joseph for a name?	Você gosta do nome Joseph?
I'm done studying.	Estou farto de estudar.
When and where did you come to know her?	Quando e onde você veio a conhecê-la?
I'm glad I learned from you.	Ainda bem que aprendi com você.
Tom doesn't want to do that now.	O Tom não quer fazer isso agora.
Tom is as hardworking as any.	O Tom trabalha duro quanto qualquer outro.
You can speak French, can't you?	Você sabe falar francês, não sabe?
I brought you rice from China.	Eu lhes trouxe arroz da China.
A strong smell of cannabis hung in the air.	Tem um cheiro forte de maconha no ar.
Trust no one.	Não confie em ninguém.
She only reads prose.	Ela lê somente prosa.
When was the last time you and Tom worked together?	Quando foi a última vez que você e Tom trabalharam juntos?
We need a break.	Nós precisamos de uma pausa.
He just glanced at me.	Ele só me viu de relance.
A racoon was stealing the fish.	Um guaxinim estava roubando os peixes.
I forgot to buy ketchup.	Eu esqueci de comprar ketchup.
You obviously don't know Tom very well.	Vocês obviamente não conhecem Tom muito bem.
Tom is good at that.	Tom é bom nisso.
Is somebody down there?	Tem alguém lá embaixo?
We all can't be blue bloods.	Nem todos podem ter sangue azul.
He shouts a lot.	Ele grita muito.
Tom said he was able to do everything he needed to do.	Tom disse que ele era capaz de fazer tudo o que precisava fazer.
Tom used to have a mustache.	Tom costumava ter bigode.
Many English words are derived from Latin.	Muitas palavras inglesas derivam-se do latim.
Have you eaten yet?	Você já comeu?
Duh.	Dã.
I almost bought one of those.	Eu quase comprei um desses.
I'll make a note of that.	Eu vou tomar nota disso.
Tom is waiting for us in his office.	Tom está esperando a gente no escritório dele.
He insured himself for a rainy day.	Ele fez seguro contra um caso de necessidade.
He slid the money into my pocket.	Ele sorrateiramente colocou o dinheiro no meu bolso.
We were all present at the meeting.	Nós estávamos todos presentes na reunião.
We love fast food.	Amamos fast food.
Fortune comes in by a merry gate.	A fortuna vem por um portão alegre.
Don't forget to talk to Tom tomorrow.	Não se esqueça de falar com Tom amanhã.
He knows he acted badly.	Ele sabe que agiu mal.
Are you fucking kidding me?	Você está me zoando?
You did that very fast, didn't you?	Você fez isso muito rápido, não foi?
Whatever may happen, I am prepared for it.	Não importa o que aconteça, estou preparado.
Tom is convinced that Mary is the one who stole his clarinet.	Tom está convencido de que Mary foi quem roubou seu clarinete.
Tom told me I'd never win again.	O Tom me disse que eu não venceria de novo.
Have you gone off your rocker?	Você ficou doido?
Tom has built three houses.	Tom construiu três casas.
Excuse me.	Desculpa!
I wanted something else.	Eu queria outra coisa.
I need a driver to take me home.	Preciso de um motorista para me levar para casa.
Never piss Fadil off.	Nunca irrite o Fadil.
Tom loves that.	Tom adora isso.
She kept me waiting for 30 minutes.	Ela me deu um chá de cadeira de meia hora.
Did you wake Tom up?	Vocês acordaram Tom?
I'm leaving you tomorrow.	Eu te deixarei amanhã.
I'll sit over there.	Eu sentarei ali.
Tom fed his horse.	Tom alimentou o cavalo dele.
It was early spring, so there weren't many customers.	Era o começo da primavera, então não havia muitos clientes.
Is that why you won't help her?	É por isso que você não vai ajudá-la?
I made brownies.	Fiz brownies.
What's Tom going to say?	O que Tom dirá?
Do you have a card?	Você tem um cartão?
Do you have any beer?	Você tem cerveja?
"""How old are you?"" ""I'm 16 years old."""	"""Quantos anos você tem?"" ""Tenho dezesseis."""
Tom might have to speak French.	Tom pode ter que falar em francês.
Tom would like to come with us.	Tom gostaria de vir conosco.
Tom still loves Mary even though she doesn't love him anymore.	Tom ainda ama Maria, embora ela não o ame mais.
I don't want a pet anymore.	Eu já não quero um animal de estimação.
I was following Tom.	Eu estava seguindo o Tom.
Children ate ice cream on hot days.	As crianças tomavam sorvete em dias quentes.
It's cold. Could you close the window?	Está frio. Você poderia fechar a janela?
Who will take care of the baby?	Quem cuidará do bebê?
Tom and Mary said that they could see ghosts.	Tom e Maria disseram que podiam ver fantasmas.
I wasn't the one who told Tom to sing.	Não fui eu quem falou para o Tom cantar.
They sound disappointed.	Eles parecem desapontados.
You've already won.	Você já ganhou.
We believe in God.	Nós cremos em Deus.
They have no children, as far as I know.	Eles não têm filhos, até onde eu sei.
We must phone for an ambulance.	Devemos chamar uma ambulância.
I play the guitar every day.	Eu toco violão todos os dias.
I need a weapon.	Preciso de uma arma.
Tom lied in bed.	O Tom deitou na cama.
I saw him last week.	Vi-o semana passada.
Who do you think can tell us the answer?	Quem você acha que pode nos dizer a resposta?
The war in Iraq happened ten years ago.	A guerra no Iraque aconteceu há dez anos.
The mall is deserted.	O shopping está deserto.
Einstein was a mathematical genius.	Einstein foi um gênio da matemática.
They're on their own.	Eles estão por conta própria.
Translation is an art, not a science.	A tradução é uma arte, não uma ciência.
Sadako smiled at them.	Sadako sorriu para elas.
What's your greatest fear?	Qual é o seu maior medo?
We spoke about an article that I had published.	Nós falamos sobre um artigo que eu tinha publicado.
I need one more.	Preciso de mais uma.
They represent not only themselves but this institution as well.	Eles não representam apenas eles mesmos, mas também essa instituição.
What I want is love.	O que eu quero é amor.
What was the cost?	Qual foi o custo?
I'd like to buy everyone a round.	Eu gostaria de comprar uma rodada para todo mundo.
Could you please turn your television down?	Vós faríeis a gentileza de diminuir o volume da televisão?
Your feet will lead you to where your heart is.	Os teus pés te levarão para onde o teu coração estiver.
Tom didn't ask for permission to leave.	Tom não pediu permissão para sair.
I am going to take out money.	Eu vou tirar dinheiro.
My car stalled in the tunnel.	Meu carro enguiçou no túnel.
I cannot stand you anymore.	Não posso mais te suportar.
Tom has a dog, too.	Tom também tem um cachorro.
Tom is talking to someone in French.	Tom está conversando com alguém em francês.
Tom said that I should win.	Tom disse que eu deveria vencer.
The potatoes stayed hot.	As batatas permaneceram quentes.
This building is new.	Este prédio é novo.
My older brother is an authority on philosophy.	Meu irmão mais velho é uma autoridade quando o assunto é filosofia.
What do you mean you don't know?!	O que você quer dizer com você não sabe?
Have you taken the test?	Você fez o teste?
Tom didn't want an expensive camera.	O Tom não queria uma câmera custosa.
Tom is a good sort.	Tom é uma boa pessoa.
Tom was waiting over there for you, but I don't see him now.	Tom estava esperando pelo senhor ali, mas agora eu não o vejo.
I think the job is done.	Eu acho que o trabalho está feito.
I've changed clothes.	Troquei de roupa.
He has been living in Ankara since 2006.	Ele vive em Ancara desde 2006.
I'll take care of it immediately.	Eu cuidarei disso imediatamente.
Concentrate on the mission!	Concentre-se na missão!
That's confusing.	É confuso.
I just try not to think about it.	Eu só tento não pensar sobre isso.
Gloria hasn't lived in Rio for many years.	Há muitos anos que Glória não mora no Rio.
Everybody in the room was snoring.	Todo mundo na sala estava roncando.
You'll have to come with me.	Você terá de vir comigo.
I need to buy some rat poison.	Preciso comprar algum raticida.
Paul Levinson said that any attempts to abridge that right — either by governments or through commercial pressure from web providers — will ultimately fail.	Paul Levinson disse que quaisquer tentativas de restringir esse direito — quer pelos governos, quer através da pressão comercial dos fornecedores de internet — acabarão por fracassar.
Tom never seemed to be interested in learning French.	Tom nunca parecia estar interessado em aprender Francês.
I have to get him out of here.	Tenho de tirá-lo daqui.
Cats don't have owners, they have staff.	Os gatos não têm donos, eles têm funcionários.
Tom made Mary angry.	Tom deixou Mary brava.
I wanted to buy a dog.	Eu queria comprar um cachorro.
Say what you want.	Digam o que vocês quiserem.
Where would you rather go?	Aonde você prefere ir?
Do you find it funny that I feel this way?	Você acha engraçado eu me sentir assim?
I wish I had got married to her.	Queria ter me casado com ela.
I drink water when I'm thirsty.	Eu bebo água quando estou com sede.
There's a water shortage in this area.	Há escassez de água nesta área.
The phone needs to be charged.	O telefone precisa ser carregado.
I need you to stay here.	Preciso que você fique aqui.
Nobody believed Tom.	Ninguém acreditou em Tom.
I can't speak French.	Não falo francês.
Please come to see me tomorrow.	Venha me ver amanhã, por favor.
It's good you don't have to study so hard.	É bom que você não precise estudar tanto.
Wait for me by the car!	Espere por mim ao lado do carro!
Then she said a prayer that was an oblique attack on the Obama administration's policies.	Depois ela proferiu uma oração que era um ataque indireto às políticas da administração Obama.
There, something completely different.	Eis algo completamente diferente.
We left together.	Partimos juntos.
Will it rain?	Será que chove?
Shouting isn't singing.	Gritar não é cantar.
Are you hungry?	Estás com fome?
We often eat together.	Nós geralmente comemos juntos.
The car is black.	O carro é preto.
I have no idea who that man was.	Não faço ideia de quem era aquele homem.
I didn't know you were down there.	Eu não sabia que você estava aí embaixo.
Mennad was on a double-divided highway.	Mennad estava em uma via expressa.
Come and I'll show you what I do to frogs like you.	Venha e te mostrarei o que faço com rãs como você.
Why would Tom want me to help him?	Por que o Tom iria querer que eu o ajudasse?
She moved my clothes.	Ela mexeu em minhas roupas.
So, what do you find so interesting about dinosaurs?	Então, o que você acha tão interessante em dinossauros?
I'm fine, thanks!	Estou bem, obrigado!
Will you wait for me?	Você vai esperar por mim?
Tom doesn't like apples, does he?	Tom não gosta de maçãs, não é?
Should we be worried?	Nós deveríamos estar preocupados?
They didn't believe me.	Eles não acreditaram em mim.
This is standard procedure.	Isto é procedimento padrão.
What parts of the city have to be visited?	Que partes da cidade se devem visitar?
I'm glad she didn't come.	Ainda bem que ela não veio.
Mary was impressed with what she saw.	A Mary estava impressionada com o que ela viu.
Don't open your mouth, and your physiognomy demonstrates a preoccupation.	Você não abre a boca, e sua fisionomia aparenta preocupação.
I don't often eat out.	Eu não costumo comer fora.
The room was jam-packed with reporters waiting for the press conference to begin.	A sala estava repleta de repórteres esperando a coletiva de imprensa começar.
She was laughed at.	Riram dela.
It'll take hours.	Vai levar horas.
Tom asked Mary to look after the children.	Tom pediu para Mary tomar conta das crianças.
I had to wait so long that I fell asleep in the chair.	Eu tive de esperar tanto que adormeci na cadeira.
I know Tom isn't as patient as I am.	Eu sei que o Tom não é tão paciente quanto eu.
They called the vet, since there was no other doctor in the village.	Chamaram o veterinário, já que não havia outro médico na aldeia.
No one believed me at first.	Ninguém acreditou em mim a princípio.
Have you ever thought of becoming a nurse?	Você já pensou em virar enfermeira?
I don't believe you really did that.	Eu não acredito que você realmente fez isso.
Do you want me to leave?	Você quer que eu vá embora?
She's of the Caucasian race.	Ela é caucasiana.
Why did Tom commit suicide?	Por que o Tom cometeu suicídio?
You were delirious.	As senhoras estavam delirando.
She doesn't have to know.	Ela não tem que saber.
If I'm late again, I'm going to be fired.	Se eu me atrasar de novo, serei demitido.
You're asking the wrong person.	Você está perguntando à pessoa errada.
Tom and Mary have been kidnapped.	Tom e Maria foram sequestrados.
Tom doesn't care, but Mary does.	Tom não se importa, mas Mary sim.
It's possible for a ball of lead to float on water.	É possível que uma bola de chumbo flutue na água?
Tom jacked up the car.	Tom levantou o carro com um macaco.
Did you talk to your wife?	Você falou com sua esposa?
I hope that you can do that for us.	Espero que você possa fazer isso por nós.
Her heart was beating wildly.	O seu coração batia desenfreadamente.
I do not believe it.	Eu não acredito nisso.
Tom has traveled a lot.	Tom já viajou muito.
I can do it by myself.	Eu mesmo posso fazê-lo.
Two months have passed since he left for France.	Dois meses se passaram desde que ele partiu para a França.
I'm chewing gum.	Estou mascando chiclete.
I miss it.	Saudades disso.
I'm sure his chemistry teacher would have failed him had they survived the tragic explosion.	Tenho certeza que seu professor de química o teria feito repetir de ano se eles tivessem sobrevivido à trágica explosão.
This has to be stopped.	Isso tem que ser impedido.
I think it's time for me to get a new email address.	Acho que é hora de eu criar um novo endereço de e-mail.
I've been cheated before.	Eu já fui traído.
Let's go to Boston together.	Vamos para Boston juntos.
Why do you hate America?	Por que você odeia os Estados Unidos?
Please at least think about it.	Por favor, pelo menos pense nisso.
Do you like candy?	Você gosta de doces?
I guess this is goodbye.	Eu acho que isso é um adeus.
Tom is pleased with his success.	O Tomás está satisfeito com o seu sucesso.
I wake up to the sound of music.	Acordei pelo som da música.
I don't know whether he'll come.	Não sei se ele virá.
I think I ate too much chocolate.	Acho que comi chocolate demais.
I didn't cry out.	Eu não chorei.
Tom wasn't beaten.	Tom não foi derrotado.
Don't be angry with me, for I did it for your sake.	Não fique nervoso comigo, pois eu fiz isso por sua segurança.
I want to be an excellent teacher.	Eu quero ser um ótimo professor.
Tarzan and Jill live in the jungle.	Tarzan e Jane vivem na selva.
We bought bread and milk.	Compramos pão e leite.
She never laughs.	Ela nunca ri.
I wasn't able to find Tom anywhere.	Eu não consegui encontrar o Tom em lugar nenhumr.
What went wrong?	O que deu errado?
It was last week.	Foi na semana passada.
I'm talking about your actions.	Eu estou falando sobre as suas ações.
Daniel is the only child of Jacob.	Daniel é o único filho de Jacó.
Did you bring an umbrella with you?	Trouxe um guarda-chuva com você?
She plays Minecraft day in, day out.	Ela joga Minecraft dia sim, dia não.
I wasn't wrong.	Eu não estava errado.
What's your favorite cut of meat?	Qual é o seu corte de carne favorito?
Have you ever got on a boat?	Você já entrou num barco?
That movie is ace.	Esse filme é da hora.
Tom ordered apple pie, and so did I.	Tom pediu torta de maçã e eu também.
I can't eat cheese.	Eu não posso comer queijo.
The actions of men are the best interpreters of their thoughts.	As ações dos homens são os melhores intérpretes de seus pensamentos.
Would you like another piece of cake?	Você gostaria de outro pedaço de bolo?
You're going in the wrong direction.	Você está indo na direção errada.
Tom won't want it.	O Tom não vai querer isso.
America is very large.	América é muito grande.
I wasn't doing anything.	Eu não estava fazendo nada.
Tom isn't a good sculptor.	Tom não é um bom escultor.
Do they really care?	Eles realmente se importam?
Tom's not as bad as you think.	Tom não é tão mau quanto você pensa.
Tom wasn't very impressed.	Tom não estava muito impressionado.
We live in France.	Nós moramos na França.
I'm studying English at home.	Estou estudando inglês em casa.
Tom drank his wine.	Tom bebeu o vinho dele.
You are a musical genius.	Você é um gênio musical.
The bathroom sink is plugged.	A pia do banheiro entupiu.
It's been a while since I don't do this.	Faz um tempinho que eu não faço isso.
Say hello to Tom.	Cumprimenta o Tom.
How did you figure that out?	Como você descobriu isso?
Tom certainly is a talented kid.	O Tom certamente é um garoto talentoso.
Tom wasn't in the mood to accept Mary's apology.	Tom não estava no clima para aceitar as desculpas de Maria.
I know you don't believe me.	Eu sei que você não acredita em mim.
Would you care to come and see me on Saturday?	Você se importaria em vir e me ver no sábado?
Can you feel the tension?	Você consegue sentir a tensão?
Tom shut down his computer.	Tom desligou o computador.
They may come back.	Talvez voltem.
It's happened to me.	Aconteceu comigo.
Tom wants to do that, and I don't blame him.	Tom quer fazer isso, e eu não o culpo.
The ADB says job creation in the Asia-Pacific region is limited by a number of factors, including weaknesses in basic infrastructure and financial systems, and regulatory barriers that conspire to restrain investment and job growth.	O BAD diz que a criação de emprego na região Ásia-Pacífico é limitada por uma série de fatores, incluindo as deficiências nas infraestruturas básicas e nos sistemas financeiros e as barreiras regulamentares que conspiram para restringir o investimento e o crescimento de emprego.
I can't explain to you at the moment.	Não posso explicar para você no momento.
Tom is watching Mary.	Tom está observando Maria.
I must speak with Tom.	Eu preciso falar com o Tom.
The results were not definitive, but I'm sure the DNA's a match.	Os resultados não foram definitivos, mas tenho certeza de que o DNA corresponde.
Shall we stop soon?	Devemos parar logo?
I was just wondering what languages you can speak.	Eu estava me perguntando quantas línguas vocês falam.
I like it when you sing.	Gosto quando você canta.
That's not why you're here.	Isso não é o porquê de você estar aqui.
Tom is looking for his car keys.	Tom está procurando a chave do carro dele.
Does your dog have fleas?	Seu cachorro tem pulgas?
She told him that she was leaving.	Ela lhe disse que estava partindo.
Tom has no idea what the fuck he's doing.	Tom não tem ideia do que está fazendo.
Doesn't Tom ever do that?	O Tom já não fez isso?
It's still closed.	Ainda está fechado.
I'm going to get you out of here.	Eu vou te tirar daqui.
Is that a compliment?	Isso é um elogio?
Tom was trying to help Mary.	Tom estava tentando ajudar Maria.
Don't come near me!	Não se aproxime de mim!
Hello, Lisa.	Olá, Lisa!
Tom and Mary are creepy.	Tom e Mary estão arrepiados.
I like a pen with a fine point.	Eu gosto de caneta de ponta fina.
What are you going to do in Boston?	O que você vai fazer em Boston?
It's raining, but she's not wearing a coat.	Está chovendo, mas ela não está usando um casaco.
How long have you been studying Latin?	Há quanto tempo você estudava latim?
They were grateful.	Eles eram gratos.
Many will die.	Muitos vão morrer.
Some of the zoo animals were very fierce and needed to be restrained.	Alguns dos animais do zoológico eram muito ferozes e precisavam ser contidos.
Tom looked at Mary.	Tom olhou para Maria.
I already filled out the form.	Já completei o formulário.
Tom has a dog. He has three cats, too.	Tom tem um cachorro. Ele também tem três gatos.
It has to be there.	Isso tem de estar lá.
People who say it cannot be done should not interrupt those who are doing it.	Aqueles que dizem que algo não pode ser feito não devem interromper os que o estão fazendo.
I didn't get his name.	Eu não consegui o nome dela.
Keep an eye on the girls.	Fique de olho nas meninas.
"A senior State Department official who briefed reporters on the day's meetings said the broader the support for the resolution in the 15-member council, the more ""catalytic"" the measure will be in drawing other countries into what is to be a U.N. force under an American commander."	Um alto funcionário do Departamento de Estado que falou aos repórteres sobre as reuniões de hoje disse que quanto mais amplo for o apoio à resolução dentro do conselho de 15 membros, mais “catalítica” será a medida na atração de outros países para o que deverá ser uma força da ONU sob um comandante americano.
Mary only drinks lactose-free milk.	Maria só bebe leite livre de lactose.
I like to write poems.	Eu gosto de escrever poemas.
You deserve the best.	Você merece o melhor.
Wait until six.	Espere até as seis.
You have no business complaining about the matter.	Você não tem nada que reclamar do assunto.
You need a joystick.	Você precisa de um joystick.
I don't even know who he is.	Sequer sei quem ele é.
I have just finished reading the book.	Acabei de terminar o livro.
I liked traveling with you.	Eu gostei de viajar com vocês.
I want to publicly complain about that.	Quero reclamar publicamente sobre isso.
I'm used to being laughed at.	Estou acostumado que riam de mim.
I'm crazy for you!	Eu estou louco por você.
Where did you go?	Aonde tu foste?
In some cases, emeralds can be worth more than diamonds.	Em alguns casos, as esmeraldas podem valer mais que diamantes.
It sounds like you have class on Saturdays as well.	Parece que você também tem aula aos sábados.
Tom enjoys taking pictures.	Tom gosta de tirar fotos.
He failed the exam, but he doesn't care too much.	Ele não passou no exame, mas não se importa muito.
Heads or tails?	Cara ou coroa?
The dog is smart.	O cão é inteligente.
I was too shy.	Eu era muito tímido.
Our feelings can't be played with like that.	Não se pode brincar com os nossos sentimentos assim.
I'm building a birdhouse.	Estou construindo uma casa de passarinho.
Tom made a sandwich.	Tom fez um sanduíche.
I know the father of this girl.	Eu conheço o pai dessa garota.
I am a teacher of English.	Sou professor de língua inglesa.
I didn't give up.	Eu não desisti.
Is that mine?	Isso é meu?
Much of our daily living must consist of routine that requires little or no mental effort.	Boa parte de nossa vida quotidiana deve consistir de rotinas que demandam pouco ou nenhum esforço mental.
Who sent this message?	Quem enviou essa mensagem?
It isn't an easy subject to talk about.	Não é um assunto fácil de se falar.
Where are our children?	Onde estão nossos filhos?
My office is on Park Street.	Meu escritório é na Park Street.
It's my problem. I'll deal with it.	É problema meu. Eu irei lidar com isso.
You can keep them.	Você pode ficar com eles.
Why would anyone want to do this?	Por que alguém iria fazer isso?
What does the English breakfast contain?	O que contém o café da manhã inglês?
I hope I see it again.	Espero revê-la.
Does anyone want a beer?	Alguém quer cerveja?
Will you come home for dinner tonight?	Você vai vir para casa para o jantar hoje à noite?
Can you tell me how you found out what Tom did?	Você pode me dizer como descobriu o que Tom fez?
He showed me how to use this camera.	Ele me mostrou como usar sua câmera.
He is getting old, but he is as healthy as ever.	Ele está ficando velho, mas está mais saudável do que nunca.
The sentences I now write may one day be seen as evidence that I existed.	As frases que ora escrevo algum dia poderão ser vistas como evidências de que eu existi.
He was regarded as the greatest writer of the day.	Ele foi considerado o melhor escritor do dia.
You can't blame yourself.	Vocês não podem culpar a si mesmos.
Tom plays tuba in the school band.	Tom toca tuba na banda da escola.
Does your wife know?	A sua esposa sabe?
You're a big help.	Você é uma grande ajuda.
It's a snowstorm.	É uma nevasca.
Don't let Tom use the phone.	Não deixe Tom usar o celular.
I'm not playing with you.	Não estou brincando com você.
Tom fed the pigs.	Tom alimentou os porcos.
Here, take this with you. It could come in useful.	Aqui, leve isso com você. poderia ser útil.
Tom mistreated Mary.	Tom maltratava Mary.
What do you think I've been doing?	Que pensais que eu estive fazendo?
Do you know what time does the class start?	Você sabe que horas a aula começa?
This shouldn't take too long.	Isso não deve demorar muito.
You've misspelled my name.	Você escreveu o meu nome errado.
We'll pick you up as soon as we can.	Nós vamos te buscar o mais rápido possível.
Father has given up smoking for his health.	Papai deixou de fumar por causa da sua saúde.
Let me talk to Tom.	Deixe-me falar com o Tom.
"The letters ""sch"" in German words and ""sh"" in English are written ""ŝ"" in Esperanto. That saves space and ink."	"As letras ""sch"" em palavras alemãs e ""sh"" em inglesas são escritas ""ŝ"" em esperanto. Isso economiza espaço e tinta."
I knew that you wouldn't back down.	Eu sabia que você não recuaria.
You don't need me anymore.	Você não precisa mais de mim.
That car has a roof rack.	Esse carro tem um rack de teto.
Tom said he's still afraid.	O Tom disse que ainda está com medo.
I don't understand what you're talking about.	Eu não estou entendendo do que é que você está falando.
That's all I know.	Isso é tudo que eu sei.
Does Tom know what your expectations are?	Tom sabe quais são as suas expectativas?
I'm not on anybody's side.	Não do lado de ninguém.
What do you believe now?	No que você acredita?
I won't do it.	Eu não farei isso.
We play chess with a checkerboard.	Jogamos xadrez com um tabuleiro de damas.
Because the train did not wait for me.	Porque o trem não me esperou.
Tom didn't go fishing.	Tom não foi pescar.
Keep an eye on him.	Fica de olho nele.
I need mine.	Preciso do meu.
Everyone used to have one of those.	Todo mundo costumava ter um desses.
You didn't even smile.	Você nem sequer sorriu.
Tom is a very angry boy.	Tom é um menino muito irritado.
He made it for his sister.	Ele o fez pela irmã dele.
Part of the roof fell off.	Parte do telhado caiu.
The facts are frightening.	Os fatos são assustadores.
I want to go back now.	Quero voltar agora.
What's this line for?	Essa fila é para quê?
Do you know how to paint?	Você sabe pintar?
I wasn't able to find my way out.	Não fui capaz de encontrar o caminho.
The fish was delicious.	O peixe estava uma delícia.
They are human.	São seres humanos.
It is said that Japanese people are kind to people they know, but rather cold to those they don't.	Dizem que os japoneses são gentis com quem eles conhecem mas extremamente frios com desconhecidos.
This is my dearest son.	Este é o meu filho caríssimo.
Molecules fully capable of transmitting and storing genetic information [would have to be] already available to the first being that inhabited this planet.	Moléculas plenamente capazes de transmitir e armazenar informação genética [teriam de estar] disponíveis já para o primeiro ser que habitou este planeta.
I think it's time for me to walk away from this mess.	Eu acho que é hora de eu sair dessa confusão.
I'm not in.	Eu não estou dentro.
Could I please have a glass of water?	Poderia me dar um copo d'água?
May the blessings of God rest upon you.	Que as bênçãos de Deus recaiam sobre ti.
Find mutual interests, and you will get along with each other.	Encontre interesses comuns que vocês vão se entender.
You were listening.	Vocês estavam escutando.
He has integrity, so he has many friends.	Ele tem integridade, por isso ele tem muitos amigos.
Ain't he cute?	Ele não é fofinho?
Are you going to be there?	Você vai estar lá?
I'd like for you to go.	Gostaria que você fosse.
I need a mouse pad.	Preciso comprar um mouse pad.
I'll be at Tom's.	Estarei na casa do Tom.
Here's an illustration at the top of this page.	Aqui está uma ilustração no topo dessa página.
We usually spend Sunday outside the city.	Costumamos passar o domingo fora da cidade.
You told me it was an emergency.	Você me disse que era uma emergência.
Did you try it?	Você tentou?
Don't be disrespectful to your mother!	Não falte com respeito à sua mãe!
I must go out.	Eu devo sair.
I'm glad I didn't lie to Tom.	Eu fico feliz por não ter mentido para Tom.
Tom did exactly what he said he would do.	O Tom fez exatamente o que ele disse que faria.
There are many islands in Greece.	Há muitas ilhas na Grécia.
What does that mean?	O que isso significa?
I remember her face, but I don't remember her name.	Eu lembro o seu rosto, mas não lembro o seu nome.
I enjoy chess.	Eu gosto de jogar xadrez.
I think I'm in danger.	Acho que estou em perigo.
Tom doesn't have to drive Mary home.	Tom não precisa dar carona para Mary até em casa.
The product was not taken out of the box.	O produto nem foi tirado da caixa.
Don't argue.	Não discutam.
That must have taken place while I was away.	Isso deve ter ocorrido enquanto eu estava fora.
Let Tom do his job.	Deixe Tom fazer o seu trabalho.
Don't you think you could do better?	Você não acha que poderia fazer melhor?
Tom jumped into the bushes.	Tom pulou nos arbustos.
Tom is one of the designers I work with.	Tom é um dos designers com quem trabalho.
Don't twist my words.	Não distorça as minhas palavras.
She has a little bread.	Ela tem um pouco de pão.
Never mind!	Esquece!
Tom was lying in bed, staring up at the ceiling.	Tom estava deitado na cama, olhando para o teto.
I don't know how long.	Eu não sei quanto tempo faz.
Standing as it does on a hill, the church commands a fine view.	Como a igreja fica no alto da montanha, de lá se tem uma bela vista.
They're coming together.	Eles estão vindo juntos.
