Fly!	Voe!
That's only a small part of the problem.	Essa é apenas uma pequena parte do problema.
Jefferson was a happy president in those early days of 1801.	Jefferson era um presidente feliz naqueles dias do início de 1801.
I have no idea. That's why I'm asking.	Eu não faço ideia. É por isso que estou perguntando.
Tom is pretty old.	Tom é bem velho.
This event, also called commencement, is where schools recognize the students who successfully completed their degree programs.	Este evento, também designado de formatura, é quando as escolas reconhecem os alunos que completaram com sucesso os seus programas de graduação.
Because of the demands of the exam, those who sat it were held in high regard and were awarded with a certain degree of power.	Devido às exigências do exame, aqueles que o prestaram foram mantidos em alta estima e foram premiados com um certo nível de poder.
Did you have lunch with Tom?	Você almoçou com o Tom?
That's not the way it happened.	Não foi assim que aconteceu.
Excuse me, but could you tell me the way to the bus stop?	Com licença, poderia me dizer o caminho para o ponto de ônibus?
Tom had his picture taken.	O Tom mandou tirar seu retrato.
I don't want to be a burden to my parents.	Eu não quero ser um fardo para os meus pais.
My parents died when I was a kid.	Meus pais morreram quando eu era criança.
Would you like to play tennis on Sunday?	Os senhores gostariam de jogar tênis nesse domingo?
Look what you made me do.	Olhe o que você me fez fazer.
Tom follows orders.	Tom segue ordens.
Do you like English?	Você gosta de inglês?
I have no doubt that it is a part of the destiny of the human race, in its gradual improvement, to leave off eating animals, as surely as the savage tribes have left off eating each other when they came in contact with the more civilized.	Eu não tenho nenhuma dúvida de que está no destino da raça humana, em sua gradual evolução, deixar de comer animais, e isso é tão certo quanto o fato de terem as tribos selvagens deixado de comer umas às outras quando entraram em contato com as mais civilizadas.
That won't help me.	Isso não vai me ajudar.
Do you have a corkscrew?	Você tem um saca-rolhas?
That joke wasn't funny.	Essa piada não foi engraçada.
You can make your own.	Você pode fazer o seu.
The purchase is on the company's account.	A conta será paga pela empresa.
Tom left his umbrella in my car.	Tom deixou o guarda-chuva dele no meu carro.
I'm going to study French next semester.	Vou estudar francês no próximo semestre.
How can I help these people?	Como posso ajudar esta gente?
I've been robbed before.	Eu já fui roubado antes.
I'm clumsier than you are.	Eu sou mais desastrada que você.
I'm looking for my French dictionary.	Estou procurando meu dicionário de Francês.
I don't know how to use it.	Eu não sei como usá-lo.
Tom gave me three apples.	Tom me deu três maçãs.
She reluctantly agreed.	Ela concordou relutante.
Tom doesn't have to change his plans.	Tom não precisa mudar seu plano.
I'd like to get off at Fifth Avenue.	Eu gostaria de descer na Quinta Avenida.
He has made a turnaround of a hundred and eighty degrees.	Ele fez um giro de 180 graus.
You deserve it more than I do.	Você merece mais do que eu.
I think they both are married.	Eu acho que eles dois são casados.
I appreciate your family.	Eu gosto de sua família.
This gun is reportedly very powerful.	Dizem que esta arma é muito poderosa.
I'm a big fan of Tom.	Sou um grande fã de Tom.
Tom has traveled a lot.	Tom já viajou muito.
How do you spell your last name?	Como se soletra seu último nome?
I jog almost every day.	Eu faço caminhada quase todos os dias.
I wish that I could play the cello better.	Eu gostaria de poder tocar violoncelo melhor.
Mary is wearing a very expensive necklace.	Mary está usando um calor muito caro.
They always go skiing in winter.	Eles sempre vão esquiar no inverno.
He's always up to date with sports.	Ele está sempre por dentro dos esportes.
They're looking for you.	Elas estão te procurando.
I learned a lot about Australia.	Eu aprendi muito sobre a Austrália.
They'll like that.	Eles vão gostar.
Are you confused now?	Você está confuso agora?
Think first!	Pense antes de fazer!
You're going to electrocute yourself if you aren't careful.	Você vai se eletrocutar se não tiver cuidado.
What kind of videogames do you play?	Que tipo de jogos vocês jogam?
I'm an engineer.	Eu sou engenheira.
Is it for free?	Isso é de graça?
It looks like you came prepared.	Parece que você veio preparado.
I have to get used to it.	Eu preciso me acostumar.
You look like you're busy.	Você parece estar ocupado.
I want to know who you are.	Quero saber quem você é.
I'll show my album to you.	Vou mostrar meu álbum para você.
Tom did something he wished he hadn't.	Tom fez alguma coisa que ele desejara não ter feito.
Tom surrendered.	Tom desistiu.
Tom and his friends walked down the street, singing a song.	Tom e seus amigos desceram a rua cantando uma música.
Would you prefer a brand-new or a used car?	Você prefere um carro 0km ou semi-usado?
I invited her to the movies.	Eu a convidei para o cinema.
I've watched television.	Assisti televisão.
The sound is really loud.	O som está muito alto.
Tom was aware that Mary was married.	Tom sabia que Mary era casada.
Tom barely recognized Mary.	Tom mal reconheceu Maria.
I guess this is yours.	Eu acho que isso é seu.
Coe drove his wife's Tesla sedan to the new store in Nambé on Tuesday to ask if an SUV he ordered can be delivered there.	Coe conduziu o sedã da Tesla da esposa dele até à nova loja em Nambé na terça-feira para perguntar se um veículo utilitário desportivo que ele encomendou poderia ser entregue lá.
Do cats meow?	Os gatos miam?
Tom scanned the QR code with his phone.	O Tom escaneou o código QR com o telefone.
Tom wanted to build his own house, but gave up after realizing how much work it would be.	Tom queria construir sua própria casa, mas desistiu depois de perceber quanto trabalho isso representaria.
Why can't we tell him?	Por que não podemos contar para ele?
I'm grounded.	Estou de castigo.
I'll let Tom explain.	Vou deixar o Tomás explicar.
It's a wonderful opportunity.	É uma ótima oportunidade.
Each person has his plate.	Cada pessoa tem seu prato.
Tom pretended not to see Mary.	Tom fez de conta que não viu Maria.
I want you to stop this immediately.	Quero que você pare isso imediatamente.
Do you know what's really going on between Tom and Mary?	Você sabe o que realmente está acontecendo entre o Tom e a Mary?
I'm a good listener.	Sou um bom ouvinte.
Have you voted yet?	Vocês já votaram?
To get some enemies you don't need to declare war, just say what you think.	Para criar inimigos não é necessário declarar guerra, basta dizer o que pensa.
We must do something.	Precisamos fazer algo.
It's hard to surprise Tom.	É difícil surpreender o Tom.
Tom doesn't want to get involved.	Tom não quer se envolver.
We should wait until Tom gets here.	Devemos esperar até que o Tom chegue aqui.
I know that Tom wouldn't hit Mary.	Eu sei que Tom não bateria em Mary.
Tom asked Mary to get him a cup of coffee.	Tom pediu à Mary para trazer uma xícara de café para ele.
Do you like China?	Você gosta da China?
Do you remember our dates?	Tu te lembras dos nossos encontros marcados?
We never lose.	Nunca perdermos.
Why doesn't she sit with me anymore?	Por que ela não senta mais comigo?
I spoke with Tom in French.	Conversei com Tom em francês.
How long's that going to take?	Quanto tempo isso vai demorar?
I heard everything.	Eu ouvi tudo.
Remember what I tell you!	Lembra-te do que digo!
I'm sorry, I have no idea.	Desculpe, não tenho ideia.
I like raspberries.	Eu gosto de framboesas.
Tom is better known than Mary.	Tom é mais conhecido do que Maria.
Please pay attention to what I'm saying.	Por favor, preste atenção no que estou dizendo.
I am single.	Estou solteiro.
"""Did Tom really tell you that he was breaking up with Mary?"" ""Not in so many words."""	"""O Tom te disse mesmo que estava terminando com a Maria?"" ""Não com tantas palavras."""
In Chemistry, the characteristic of enzymes (and catalysts) to participate in certain chemical reactions is called specificity.	Em Química, chama-se especificidade a característica das enzimas (e dos catalisadores) de participar de determinadas reações químicas.
Tom needs to change his eating habits.	Tom precisa mudar os seus hábitos alimentares.
Everybody loves it.	Todos o adoram.
Don't forget to bring a camera.	Não se esqueça de trazer uma câmera.
You have until Monday.	Você tem até segunda-feira.
I saw what was happening.	Vi o que estava acontecendo.
Don't let your dog bite me.	Não deixe o seu cachorro me morder.
Why did Tom do this to me?	Por que Tom fez isso comigo?
They always eat dinner together.	Eles sempre jantam juntos.
We've already covered this subject.	Nós já cobrimos essa matéria.
Tom seems relaxed.	Tom parece estar relaxado.
I love those three kids.	Eu amo essas três crianças.
So far nothing has happened.	Até agora não aconteceu nada.
I think you knew my father.	Eu acho que você conheceu o meu pai.
How can I contact Tom?	Como posso entrar em contato com o Tom?
That makes no sense.	Isso não faz sentido.
What was inside the box?	O que tinha dentro da caixa?
Tell them to come home.	Fale para eles virem para casa.
"""What language do you write to Father Christmas in?"" ""In English, of course."""	"""Em que língua escreves ao Pai Natal?"" ""Em inglês, claro."""
I told you Tom was dangerous.	Eu te disse que Tom era perigoso.
Some of the zoo animals were very fierce and needed to be restrained.	Alguns dos animais do zoológico eram muito ferozes e precisavam ser contidos.
What happened affected my whole family.	O que aconteceu afetou toda a minha família.
If you had parked your car here, you would have been fined.	Se você tivesse estacionado seu carro aqui, você teria sido multado.
Is he back already?	Ele já voltou?
Do you have any idea who might be able to help us?	Você tem alguma ideia que possa vir a nos ajudar?
He barely speaks English.	Ele fala mal o inglês.
I couldn't hear what you just said.	Não conseguia ouvir exatamente o que você disse.
When will your train arrive in Kyoto?	Quando seu trem chegará a Quioto?
I know that it's you.	Eu sei que és tu.
Nice suit.	Belo terno.
Don't you like that?	Você não gosta disso?
I pay dearly but he is a great teacher.	Eu pago caro, mas ele é um grande professor.
It's a love story.	É uma história de amor.
Did you talk about me?	Você falou sobre mim?
You should stop doing that.	Você deve parar de fazer isso.
I thought that a laptop would cost a fortune; however, the prices have gone down considerably.	Achava que um computador portátil custaria uma fortuna, mas os preços têm baixado muito.
Tom was hit by lightning.	Tom foi atingido por um raio.
Get Tom away from here.	Tirem Tom daqui.
Yeah, that's exactly what I want.	Sim, é exatamente o que eu quero.
I'm from Australia.	Venho da Austrália.
Family is important.	A família é importante.
This baffles my mind.	Isso me confunde.
Tom was sitting on the hood of the car.	Tom estava sentado no capô do carro.
Do you really not care that I'm going alone?	Você realmente não se importa que eu esteja indo sozinho?
What have you done to me?	O que você fez comigo?
Wait for the police.	Espere pela polícia.
Let me die in peace.	Deixe-me morrer em paz.
When she was thirteen, she ran away from home.	Quando tinha treze anos, ela fugiu de casa.
Are you playing with me?	Vocês estão de brincadeira comigo?
Tom is very sophisticated.	Tom é muito sofisticado.
The man was jailed as spy.	O homem foi preso como espião.
We are at your disposal for any further clarification.	Estamos ao dispor para qualquer esclarecimento adicional.
I have to go to work now.	Preciso ir trabalhar agora.
These things take time.	Essas coisas levam tempo.
He was very naughty when he was a little boy.	Ele era muito travesso quando ele era um menino.
I woke up with a crick in my neck.	Acordei com o pescoço duro.
Nope! You'll have to guess it yourself!	Não! Você vai ter que adivinhar sozinha!
I want to share it with you.	Eu quero compartilhar isso contigo.
Tom and I go fishing together once in a while.	Tom e eu vamos pescar juntos de vez em quando.
There's a big difference between theory and idea.	Há uma grande diferença entre teoria e ideia.
I don't know them personally.	Eu não as conheço pessoalmente.
They don't want you to know.	Elas não querem que você saiba.
Don't you want to go to Boston?	Você não quer ir para Boston?
I don't know how long this situation is going to last.	Eu não sei quanto tempo esta situação vai durar.
I started running once a week. And now I run every day.	Comecei a correr uma vez por semana. E agora corro todos os dias.
You have absolutely nothing to fear.	Você não tem absolutamente nada para temer.
I really miss you all.	Sinto saudade, de verdade, de vocês.
I'm not coming back home.	Eu não vou voltar para casa.
Living a busy life, he usually doesn't see his family.	Com sua vida ocupada, ele mal vê a família.
I refused to be paid.	Recusei ser pago.
The worst is already over.	O pior já passou.
Tom is a very lucky boy.	Tom é um garoto muito sortudo.
I couldn't believe what I was seeing.	Eu não pude acreditar no que estava vendo.
Please add Tom to the list.	Por favor, adicione Tom à lista.
I don't know whether she's happy or not.	Eu não sei se ela está feliz ou não.
Where will you be staying?	Onde você vai ficar?
You don't have to stay home.	Você não precisa ficar em casa.
She sings well, to be sure, but she can't act.	Ela canta bem, sem dúvida, mas ela não consegue atuar.
The economy still hasn't completely recovered from the financial crisis.	A economia ainda não se recuperou da crise financeira completamente.
I think that I can find your house.	Eu acho que posso encontrar sua casa.
Tom is interested in ancient Egyptian history.	Tom tem interesse na história do antigo Egito.
We stopped for a sandwich.	Fizemos uma parada para um lanche.
Tom was in tears.	Tom estava em lágrimas.
I haven't done that yet.	Eu ainda não fiz isso.
I'm trying to keep awake.	Estou tentando ficar acordado.
I thought you might like that.	Eu achei que você pudesse gostar disso.
Who likes beans?	Quem gosta de feijão?
I like being with Tom.	Eu gosto de estar com o Tom.
Don't even worry about it.	Nem se preocupe.
Tom appears to be very smart.	Tom parece ser muito inteligente.
I'm not interested in him. He's just a friend.	Não estou interessada nele. Ele é apenas um amigo.
I wouldn't think so.	Eu não pensaria assim.
It rained this afternoon.	Choveu esta tarde.
Animals can't choose to be vegan.	Os animais não podem escolher ser veganos.
Are you off your meds?	Você está sem tomar seus remédios?
Be confident.	Seja confiante.
I'm from Tokyo.	Sou de Tóquio.
Tom bought a new notebook.	Tom comprou um caderno novo.
How long have you worked for Tom?	Há quanto tempo você trabalha para Tom?
Catalina is from Argentina. She is Argentinian.	Catalina é da Argentina. Ela é argentina.
I want more people to get involved.	Eu quero que mais gente se engaje.
Who else might've done it?	Quem mais poderia ter feito isso?
What are you running from?	Do que você está fugindo?
Don't ever forget it.	Nunca se esqueça disso.
Tom didn't know who to believe.	Tom não sabia em quem acreditar.
The monkey got away.	O macaco escapou.
Who forced you to do that?	Quem forçou você a fazer isso?
It seems that he is telling a lie.	Parece que ele está contando uma mentira.
Will he recover?	Ele vai se recuperar?
Tom is in bad shape.	Tom está em má forma.
They're strong.	Elas são fortes.
I met your dad yesterday.	Encontrei o seu pai ontem.
I've been evicted.	Fui despejado.
You know who they are.	Você sabe quem são elas.
I'm trying to meditate.	Eu estou tentando meditar.
Which is your luggage?	Qual é a sua bagagem?
It took months.	Demorou meses.
How many boys are there in this class?	Há quantos meninos na classe?
I can't drink coffee without sugar.	Eu não posso tomar café sem açúcar.
We've already done our work.	Já terminamos o nosso trabalho.
Can I see your badge?	Posso ver o seu distintivo?
Tom says that he can't remember anything that happened on the day of the accident.	Tom diz que não consegue se lembrar de nada do que aconteceu no dia do acidente.
The chess clock, in fact, is two clocks in one piece, each controlling the time of the nearest player.	O relógio de xadrez, na verdade, são dois relógios numa única peça, cada um deles controlando o tempo do jogador mais próximo.
We'll be friends.	Nós seremos amigos.
Are you sure it's not possible?	Você tem certeza de que isto não é possível?
I wonder if the weather will hold.	Será que o tempo se manterá assim?
Are you learning German?	Estás a aprender alemão?
It's urgent, you have to go now.	É urgente, você precisa de ir agora.
I want to buy bananas.	Quero comprar bananas.
I could use something to drink.	Eu bem que aceitaria alguma coisa para beber.
Tom isn't anything like I'd expected.	Tom não é nada como eu esperava.
That sounds fun.	Isso me parece engraçado.
Some people think that there are too many lawyers in this country.	Algumas pessoas acham que há advogados demais neste país.
The avenue has a lot of traffic in the morning.	A avenida tem muito trânsito pela manhã.
Traffic lights are used to direct traffic.	Os semáforos são usados para controlar o tráfego.
Are you still confused?	Vocês ainda estão confusas?
Say what you want.	Diga o que você quiser.
Using Linux in your target language is a great way to learn new vocabulary and gain practical experience.	Usar o Linux na sua língua alvo é uma ótima maneira de aprender vocabulário e ganhar experiência prática.
Wow, you're a lucky guy.	Nossa, você é um cara sortudo.
You're the one who told Tom to do that.	Foi você que falou para Tom fazer aquilo.
Tom leaned forward and whispered into Mary's ear.	Tom se inclinou para a frente e sussurrou no ouvido de Mary.
You need a joystick.	Você precisa de um joystick.
How long have you been studying English?	Há quanto tempo você estuda inglês?
Have you ever breast-fed a baby?	Vocês já amamentaram um bebê?
They made her go.	Fizeram-na ir.
It's going to cost you an arm and a leg, and possibly a few internal organs too.	Vai-te custar um braço e uma perna, e possivelmente outros orgãos.
I admire Tom a lot.	Eu admiro muito Tom.
Tom walked into the library.	Tom entrou na biblioteca.
Some people like that.	Algumas pessoas gostam disso.
Tom doesn't have enough money yet to buy the car he wants.	Tom ainda não tem bastante dinheiro para comprar o carro que ele quer.
Why does it matter that I said it and not her?	Por que importa que eu tenha dito isso e não ela?
Why didn't Tom wake me up?	Por que o Tom não me acordou?
Tom has a lot of pictures of Mary.	Tom tem muitas fotos de Maria.
We didn't want Tom to do that either.	Não queríamos que Tom fizesse isso também.
I'm looking for erotic science fiction novels.	Estou procurando romances eróticos de ficção científica.
How ever you like.	Como você quiser.
They don't know anything about you.	Eles não sabem nada sobre você.
Tom really likes Chinese food a lot.	O Tom gosta muito de comida chinesa.
Tom was eating a sandwich.	Tom estava comendo um sanduíche.
That's what I want most in the world.	Isso é o que eu mais quero no mundo.
Tom went downtown to do shopping.	Tom foi ao centro para fazer compras.
I cannot attend the conference.	Não posso assistir à conferência.
I'll be late.	Eu vou me atrasar.
They went out.	Eles saíram.
I want you to be loved.	Eu desejo que vocês sejam amadas.
Yesterday was Friday and the day after tomorrow will be Monday.	Ontem foi sexta-feira e depois de amanhã será segunda-feira.
Tom stumbled backwards.	Tom tropeçou para trás.
Feel for the pockets of your raincoat.	Sinta os bolsos da sua capa de chuva.
You had a cat.	Você tinha um gato.
I would like her to give me an explanation.	Eu gostaria que ela me desse uma explicação.
Tom wasn't in Australia, but Mary was.	Tom não estava na Austrália, mas Mary estava.
I don't look at it that way.	Eu não vejo dessa maneira.
I know I can do more.	Sei que posso fazer mais.
Tom might know where Mary is.	Talvez Tom saiba onde Maria está.
She always studies listening to music.	Ela sempre estuda ouvindo música.
What am I buying?	O que estou comprando?
He is a strange person.	Ele é uma pessoa estranha.
Too much information can confuse our brains.	Informação demais pode confundir as nossas mentes.
Where's your son, Tom?	Onde o seu filho está, Tom?
Do you like living in Boston?	Você gosta de viver em Boston?
Tom told me I shouldn't talk to Mary.	Tom me disse que eu não deveria falar com a Mary.
Tom wasn't very happy in Boston.	Tom não era muito feliz em Boston.
Tony and his mother got on a bus in the middle of the town.	Toninho e a mãe dele embarcaram num ônibus no centro da cidade.
I think Tom wouldn't mind.	Acho que Tom não se importaria.
Tom caught a snowflake on his tongue.	Tom pegou um floco de neve com a língua.
No one believes that anymore.	Ninguém mais acredita nisso.
It happened again last night.	Aconteceu de novo ontem à noite.
I love the way Tom plays the drums.	Adoro como Tom toca bateria.
She's different.	Ela está diferente.
Do you know whether Tom is doing that now?	Você sabe se Tom está fazendo isso agora?
Thanks for the compliment.	Obrigado pelo elogio.
Can you finish this in three days?	Você consegue terminar isto em três dias?
I don't like to talk about it.	Eu não gosto de falar sobre isso.
I hadn't realized the magnitude of the problems.	Eu não tinha notado o tamanho dos problemas.
How careless you are to forget such an important thing!	Que desligado você é, para esquecer uma coisa tão importante!
He brought me coffee, when I had asked for tea.	Ele me trouxe café, quando eu tinha pedido chá.
I'm going to stop her from ever doing that again.	Vou impedi-la de jamais fazer isso de novo.
It was nobody's fault.	Isso não foi culpa de ninguém.
The Nintendo DS is a popular handheld game console.	O Nintendo DS é um console de jogos portátil popular.
Tom was able to get what he needed.	Tom conseguiu o que precisava.
I saved your life.	Eu salvei tua vida.
I don’t mean to take it out on you.	Não quero tirar isso de você.
Tom almost died in that accident.	Tom quase morreu naquele acidente.
I'm still interested.	Eu ainda estou interessado.
Tom likes playing in the creek.	Tom gosta de brincar no riacho.
Don't fall apart now.	Não desmorone agora.
When I have finished my lunch, I will lie down for an hour.	Quando eu tiver terminado meu almoço, eu me deitarei por uma hora.
Tom is going to fix this, isn't he?	O Tom vai consertar isso, não é?
Tom has signed a new contract.	Tom assinou um contrato novo.
Two and four are even numbers.	Dois e quatro são números pares.
Act like a man!	Aja como um homem!
Are you going to spend all of this money?	Você vai gastar todo esse dinheiro?
You are smarter than that.	Você é mais inteligente que isso.
Tom wants to borrow some money from you.	Tom quer dinheiro emprestado de você.
I thank you very much for your help.	Eu te agradeço muito por sua ajuda.
I'm not satisfied with what you've done.	Não estou satisfeito com o que vocês fizeram.
I stood up for you and you ignored me.	Eu fiquei do seu lado e você me ignorou.
Are you going to eat?	Vocês vão comer?
Everyone knows that he's still alive.	Todos sabem que ele ainda está vivo.
Don't tell Tom that.	Não contem isso ao Tom.
Could we speak to you?	Poderíamos falar convosco?
I don't enjoy teaching French.	Eu não gosto de ensinar francês.
Mom, where's the cat?	Mamãe, cadê o miau?
Tom doesn't have to worry about things like that.	Tom não tem de se preocupar com coisas como essa.
Tom didn't like being poor.	O Tom não gostava de ser pobre.
Understood.	Entendido.
Tom saw a rabbit in his backyard.	O Tom viu um coelho em seu quintal.
I was feeling nauseous.	Eu estava sentindo náuseas.
Philip wants to get ripped.	Felipe quer ganhar massa muscular.
Do you want to have a barbecue this evening?	Vocês querem fazer um churrasco esta noite?
I love my job.	Eu amo o meu trabalho.
How beautiful!	Que bonita!
Be careful. It might be a trap.	Seja cuidadoso. Pode ser uma armadilha.
My mind is torn and undecided.	Minha mente está dividida e indecisa.
Milk spoils quickly when it's hot.	O leite estraga rapidamente quando está calor.
Do you like wine?	Você gosta de vinho?
I'm a bit anxious.	Estou um pouco ansioso.
I was suspended from work for a week.	Fui suspenso do trabalho por uma semana.
I knew I was making mistakes.	Eu sabia que estava cometendo um erro.
There are no flowers growing on Mars.	Não há flores crescendo em Marte.
It was a big deal for Tom.	Foi um grande negócio para o Tom.
He has bought a new car.	Ele comprou um carro novo.
You can't tempt me.	Você não pode me seduzir.
How long have you two been together?	Há quanto tempo vocês dois estão juntos?
Be merciless.	Seja piedoso.
He talked of her kindness and humility.	Ele falou da bondade e da humildade dela.
It's not Monday.	Não é segunda-feira.
Tom died the following night.	Tom faleceu na noite seguinte.
I haven't finished my homework yet.	Eu não terminei o meu dever de casa ainda.
For a long time, every furrow that was turned revealed some fragments of the fight.	Durante muito tempo, cada sulco que se fazia naquele torrão revelava vestígios da luta.
Dan believes that he's the center of the universe.	Dan acredita ser o centro do universo.
Mary is knitting a scarf for Tom.	Mary está tricotando um cachecol para Tom.
Tom reacted instinctively.	Tom reagiu instintivamente.
I've been meaning to speak with you.	Estava querendo falar com você.
There's something burning.	Há algo queimando.
How many fish can you keep in your tank?	Quantos peixes você pode ter no seu aquário?
It's from the Bible.	É da Bíblia.
Tom needs help putting a TV antenna on his roof.	Tom precisa de ajuda para colocar uma antena de TV no teto da casa dele.
Nobody volunteers.	Ninguém se voluntariou.
Is that you?	É você?
Tom says he didn't have a lawyer.	O Tom diz que ele não tinha advogado.
Tom loves soccer.	Tom adora futebol.
I know some students in that school.	Eu conheço alguns estudantes daquela escola.
I think that that was very special.	Eu acho que isso foi muito especial.
They'll be back.	Elas vão voltar.
This building will be built in the city.	Este prédio será construído na cidade.
It's my problem. I'll deal with it.	É problema meu. Eu irei lidar com isso.
That is the boy who came here yesterday.	Este é o garoto que veio aqui ontem.
Do you know them both?	Você conhece as duas?
It made her jaw drop.	Isso fez seu queixo cair.
Tom knows that he's dying.	Tom sabe que está morrendo.
An atomic bomb was dropped on Hiroshima in 1945.	Uma bomba atômica foi lançada sobre Hiroshima em 1945.
Trump is what Americans deserve.	Trump é o que os americanos merecem.
There are days where I feel like my brain wants to abandon me.	Tem dias que eu me sinto como se meu cérebro quisesse me abandonar.
AlphaZero is a chess player that developed its creative style solely by playing games against itself.	AlphaZero é um jogador de xadrez que desenvolveu seu estilo criativo apenas jogando contra si mesmo.
Say no to racism.	Diga não ao racismo.
You cannot scale creativity.	Você não pode dimensionar a criatividade.
"In Latin, ""gallus"" means both ""cock"" and ""Frenchman""."	"Em Latim, ""gallus"" significa tanto ""galo"" como ""francês""."
Who told you that Tom had to do that?	Quem te disse que o Tom tinha que fazer isso?
Never let the future disturb you. You will meet it, if you have to, with the same weapons of reason which today arm you against the present.	Nunca se deixe perturbar pelo futuro. Você vai defrontá-lo, se isso tiver de acontecer, com as mesmas armas da razão com que hoje enfrenta o presente.
I am free this afternoon.	Esta tarde estou livre.
Great work, people!	Ótimo trabalho, pessoal!
I'm sure Tom will be upset.	Tenho certeza de que Tom ficará chateado.
The lake froze over.	O lago congelou.
I understood.	Eu entendi.
I think Tom's doing a good job.	Eu acho que Tom está fazendo um bom trabalho.
I'm sorry. I didn't know.	Sinto muito. Eu não sabia.
I'm not crazy.	Eu não sou louco.
It's where no one can get it.	É onde ninguém consegue alcançar.
I don't miss Tom.	Não sinto saudades do Tom.
You can see it from here.	Você consegue vê-la daqui.
She asks questions about the education of children.	Ela faz perguntas sobre a educação das crianças.
We think that he will come.	Achamos que ele virá.
Her silence makes me nervous.	O seu silêncio me deixa nervosa.
What did you decide to do?	O que você decidiu fazer?
Tom has been in Australia for three months.	Tom está na Austrália há três meses.
Do you want to get married?	Você quer se casar?
I bring candy for the children.	Trago balas às crianças.
Would you consider marrying me?	Você admitiria casar comigo?
Recycle it.	Recicle-o.
You already packed the suitcases.	Vocês já fizeram as malas.
I don't know why, but every so often it happens.	Não sei porquê, mas de vez em quando acontece isso.
Okay, wait outside.	Está bem, espere lá fora.
I'm still a little busy.	Eu ainda estou um pouco ocupado.
Can't we work this out?	Não podemos resolver isso?
I'd like to be more like you.	Eu gostaria de ser mais como você.
He doesn't seem to be an American.	Ele não parece ser americana.
Your accusation is preposterous.	Sua acusão é absurda.
It's not easy being a parent, is it?	Não é fácil ser pai, é?
Are you mad?	Estás tola?
They made their way through the crowd.	Eles abriram caminho pela multidão.
Tom isn't our coach.	Tom não é nosso treinador.
I'd like to discuss this with my wife before making a decision.	Gostaria de discutir isso com minha esposa antes de tomar uma decisão.
Don't overthink it.	Não pense demais nisso.
Consider my request.	Considere o meu pedido.
Layla was charged with conspiracy for bank robbery.	Leila foi acusada de tramar para roubar um banco.
I don't know which one.	Não sei qual.
Taro, could you help me?	Taro, você poderia me ajudar?
Do you wish someday to be involved in politics?	Você deseja um dia se envolver na política?
We weren't able to close the deal.	Nós não conseguimos fechar o negócio.
Tom knows the names of all his customers.	Tom sabe o nome de todos os clientes dele.
Those are values that we all share.	Estes são valores que todos nós compartilhamos.
What should I look for?	Pelo que eu deveria procurar?
You will love our method of Language Learning.	Você vai adorar o nosso método de Aprendizagem de Idiomas.
I need to buy a house for me and my wife.	Eu preciso comprar uma casa para mim e minha esposa.
Tom beat me up.	Tom me bateu.
Therefore we must be alert when writing or typing any sentence in English language.	Por isso devemos estar atentos na hora de escrever ou digitar qualquer frase na língua Inglêsa.
We're ambidextrous.	Somos ambidestros.
You seem to be hungry.	Você parece estar com fome.
The suspects were taken by surprise.	Os suspeitos foram pegos de surpresa.
Tom bought a camera like yours.	O Tom comprou uma câmera como a sua.
I think Tom will do that, but I'm not sure.	Eu acho que Tom fará isso, mas não tenho certeza.
"He said to me, ""Study hard, and you will pass the test."""	"Ele me disse: ""Estude bastante que você passará no teste."""
Tom claimed he waited.	Tom afirmou que ele esperou.
What did you do when you knew that your house was haunted?	O que você fez quando ficou sabendo que a sua casa era assombrada?
Procrastination is the thief of time.	A procrastinação é o ladrão do tempo.
They've fired him.	Elas o demitiram.
We went along the narrow road.	Fomos pelo caminho estreito.
Do you enjoy living like that?	Você gosta de viver assim?
They need special permits to get into this area.	Eles precisam de permissões especiais para adentrar essa área.
Can I email from here?	Posso enviar um e-mail daqui?
Tom ought to stop doing that.	Tom deveria parar de fazer isso.
I don't want Tom to drive. He's been drinking.	Eu não quero que o Tom dirija. Ele tem bebido.
This would look so cute on you!	Isso ficaria tão bonitinho em você!
Was the French test difficult?	O teste de francês foi difícil?
You've never done that before, have you?	Você nunca fez isso antes, não é?
Well, Cupid is a terrible sniper.	Bom, Cupido é um péssimo atirador.
It was pretty close.	Foi muito perto.
How can I unsend an email?	Como posso reverter o envio de um e-mail?
Tom told me that he had a dream about Mary last night.	Tom me disse que teve um sonho com Mary na noite passada.
He has braces.	Ele usa aparelho.
I love your accent.	Adoro o seu sotaque.
Tom doesn't have as much energy as he used to.	O Tom não tem tanta energia quanto ele costumava ter.
He sat on the couch with folded hands.	Ela se sentou no sofá com os dedos entrelaçados.
We kept our fingers crossed.	Ficamos de dedos cruzados.
He seems to have caught a cold.	Parece que ele pegou um resfriado.
I'm waiting for dinner.	Estou esperando pelo jantar.
People wondered why Fadil spoke in Arabic.	As pessoas ficavam imaginando por que Fadil falava em Árabe.
Reluctantly, the children got back on the bus.	Rebeldemente, as crianças voltaram ao ônibus.
Everybody jumped.	Todos pularam.
An animal can be much more dangerous when injured.	Um animal pode ser muito mais perigoso quando ferido.
Jack was at school last year.	O Jack estava na escola ano passado.
I left the theater before the fire broke out.	Deixei o teatro antes que o fogo se espalhasse.
She didn't know what to do.	Ela estava perdida.
Tom says he's very rich.	Tom diz que ele é muito rico.
I want to have a child.	Eu quero ter um filho
Have you heard this story before?	Você já ouviu esta história?
Tom thinks Mary is lying.	Tom pensa que Mary está mentindo.
